,Model,Time Step,Batch Size,Epochs,MSE,R2,MAE,MAPE
262,CNN,2,32,50,0.0127,0.53,3617.5326,0.0646
263,CNN,2,64,50,0.0203,0.2488,4742.5772,0.0831
264,LSTM Sent,1,32,50,0.0061,0.8658,2326.1816,0.0444
265,Bi-LSTM Sent,1,32,50,0.0062,0.864,2372.5026,0.045
266,GRU Sent,1,32,50,0.0077,0.8303,2638.4353,0.0492
267,CNN Sent,1,32,50,0.0204,0.5507,4210.482,0.0754
268,LSTM Sent,1,64,50,0.0063,0.8616,2365.3631,0.0451
269,Bi-LSTM Sent,1,64,50,0.0072,0.8421,2549.3159,0.0481
270,GRU Sent,1,64,50,0.0107,0.7634,3100.949,0.0571
271,CNN Sent,1,64,50,0.0137,0.6966,3482.7358,0.0636
272,CNN-LSTM Sent,1,32,50,0.0126,0.7223,3315.4044,0.0607
273,CNN-LSTM Sent,1,64,50,0.0124,0.7257,3387.69,0.0617
274,CNN-LSTM Sent,2,32,50,0.0207,0.55,4390.1307,0.0796
275,CNN-LSTM Sent,2,64,50,0.028,0.3919,5107.1539,0.0914
276,CNN-LSTM Sent,1,32,50,0.0209,0.539,4491.5958,0.0821
277,CNN-LSTM Sent,1,64,50,0.0195,0.5707,4270.4627,0.0769
278,CNN-LSTM Sent,2,32,50,0.0124,0.7318,3335.4028,0.0619
279,CNN-LSTM Sent,2,64,50,0.0225,0.5111,4562.6998,0.0821
280,CNN-LSTM Sent,1,32,100,0.028,0.3819,5215.117,0.0943
281,CNN-LSTM Sent,1,64,100,0.0154,0.6601,3764.7312,0.0678
282,CNN-LSTM Sent,2,32,100,0.0218,0.5263,4483.0363,0.0809
283,CNN-LSTM Sent,2,64,100,0.0262,0.4318,4931.5082,0.0885
