Model,Time Step,Batch Size,Epochs,MSE,R2,MAE,MAPE
CNN,10,32,50,0.008992155291339505,0.666637231368475,3035.8047412909837,0.053403245546426205
LSTM,10,64,50,0.016890232709438385,0.3738347975071089,4008.900566086066,0.07657045094443284
Bi-LSTM,10,64,50,0.00581311033351177,0.7844927614844006,2081.2311168032784,0.037935657704469695
GRU,10,64,50,0.015133791639668144,0.4389506722875034,3796.490927254099,0.07286154284418811
CNN,10,64,50,0.009573948805186385,0.6450686207001679,3119.1104252049176,0.05442004057256082
LSTM,10,32,100,0.007762826077880612,0.7122116878675714,2577.2484964139353,0.04850968028012032
Bi-LSTM,10,32,100,0.009048629539962858,0.6645435829307531,2759.4103022540985,0.05210154637262329
GRU,10,32,100,0.008884800689458986,0.6706171478788909,2677.3434042008194,0.049786901878936925
CNN,10,32,100,0.03825416221545579,-0.4181820725567287,6904.133114754099,0.12121121026546319
LSTM,10,64,100,0.00889145735112557,0.6703703679811779,2689.1993954918034,0.050799780520147206
Bi-LSTM,10,64,100,0.005996088203258033,0.7777092921958242,2220.8798335040988,0.04024559896488793
GRU,10,64,100,0.00808127851643711,0.7004058211809829,2725.7007966188535,0.04967356949424349
CNN,10,64,100,0.010771022064705375,0.6006899769691867,3300.400637807377,0.05685380726926661
LSTM,1,128,100,0.003843442007187653,0.8565710692498287,1868.7580424107146,0.03310363546891545
Bi-LSTM,1,128,100,0.004433519348979146,0.8345506609713164,1978.8048147321429,0.03548408711485217
GRU,1,128,100,0.005823022818866565,0.7826974011622957,2321.61175,0.03979135702699667
CNN,1,128,100,0.009952585859663694,0.628591053180644,3130.7638281250006,0.054486341475168495
LSTM,2,128,50,0.005054021783105736,0.8126451629704404,2054.758761322463,0.03666059630749018
Bi-LSTM,2,128,50,0.005188832062522292,0.8076476859088205,2079.8309986413037,0.03756598722757869
GRU,2,128,50,0.0056355385170617145,0.7910880788113506,2241.416295289855,0.03854563840489633
CNN,2,128,50,0.011612482110074051,0.5695201194988433,3360.0722848731884,0.05962675013765135
LSTM,3,128,50,0.007059919666738322,0.7395911459557022,2446.590301011029,0.044534875794531595
Bi-LSTM,3,128,50,0.0052080838410085775,0.8078970854026379,2115.5283386948536,0.036752417530978465
GRU,3,128,50,0.0055354030359646735,0.7958237445590022,2182.970126378676,0.038213184196221814
CNN,3,128,50,0.011857243147006319,0.5626393435347616,3349.665760569853,0.05688194665724148
LSTM,5,128,100,0.008234989224012624,0.6882617067266781,2785.083605587122,0.04921491431788696
Bi-LSTM,5,128,100,0.009877880380748865,0.6260695081332189,2922.9496685606064,0.0540421593943368
GRU,5,128,100,0.009940405919548926,0.6237025827831906,3124.5159943181825,0.053715774831495255
CNN,5,128,100,0.03525588896197169,-0.3346235622010272,6644.96583096591,0.11696444034310348
LSTM,10,128,100,0.007595938214494389,0.7183986584421358,2608.407072233607,0.046591437127928625
Bi-LSTM,10,128,100,0.00574742852144278,0.7869277584357036,2293.7323924180323,0.040166006739331024
GRU,10,128,100,0.007917223706280294,0.7064877630457846,2843.3850717213127,0.051208928716986096
CNN,10,128,100,0.014341704178019603,0.46831543086410277,3932.2774692622947,0.06800660834184563
LSTM,1,32,50,0.005919748918083161,0.7790877926498407,2317.716895089285,0.041730325431420634
Bi-LSTM,1,32,50,0.004169389998692279,0.8444073962155417,1920.5396629464285,0.034370784081016424
GRU,1,32,50,0.0068924078346884144,0.7427902686772097,2545.548354910714,0.043393615970961426
CNN,1,32,50,0.01066426825042887,0.6020326078729532,3171.325578125,0.055146405970794045
CNN-LSTM,1,32,50,0.004073002834166572,0.8480043564194707,1868.46409375,0.033253433052419665
CNN-LSTM,1,64,50,0.015806813505626734,0.41012395778586364,4100.980651785714,0.06985020666120667
CNN-LSTM,2,32,50,0.00898985992519007,0.6667418912137053,2949.44475317029,0.05157192334168413
CNN-LSTM,2,64,50,0.01080081410075241,0.5996090138753758,3282.405826539855,0.05602120018616853
CNN-LSTM,1,32,50,0.0036128304990709213,0.8651769912244575,1870.7308861607141,0.03278997396281435
CNN-LSTM,1,64,50,0.009639066451103863,0.6402909184199446,3010.6981696428575,0.050872210134461276
CNN-LSTM,2,32,50,0.004521522892621114,0.8323851338543531,1999.1691326992755,0.034912810637189595
CNN-LSTM,2,64,50,0.009243618209456003,0.6573349586689214,2972.9383786231883,0.051136834492891116
CNN,1,32,50,0.012361151797473035,0.5387085893747031,3557.378814732143,0.06170194054910502
CNN,1,64,50,0.014834969978825099,0.4463910531771714,3998.1953258928575,0.06912960487129798
CNN,2,32,50,0.012678265154798862,0.5300110676540806,3617.532581521739,0.06464487645968399
CNN,2,64,50,0.020263997283421868,0.24880460125956816,4742.577196557971,0.08311006449861244
LSTM Sent,1,32,50,0.0060824598790596715,0.8657698695046584,2326.1816260593223,0.044414448796192704
Bi-LSTM Sent,1,32,50,0.006163006039096556,0.8639923449853646,2372.502637711864,0.045048939829744325
GRU Sent,1,32,50,0.007689450036221335,0.8303061750801114,2638.4352754237284,0.049156954580413734
CNN Sent,1,32,50,0.0203595569644556,0.5506972437952673,4210.482036546609,0.07535908899643175
LSTM Sent,1,64,50,0.006271516769727843,0.8615976872609581,2365.363101165254,0.04505837513321317
Bi-LSTM Sent,1,64,50,0.007155862398604322,0.8420815981247605,2549.315932203389,0.0481188468995661
GRU Sent,1,64,50,0.010722011083406527,0.7633824183776359,3100.9490148305076,0.05709544841761279
CNN Sent,1,64,50,0.013749163035777999,0.6965780317190479,3482.73580243644,0.06361300172448005
CNN-LSTM Sent,1,32,50,0.012585117494876022,0.7222666491476184,3315.404351165254,0.06069552785099022
CNN-LSTM Sent,1,64,50,0.012430815975137025,0.7256718361183538,3387.689952330508,0.061731710014856396
CNN-LSTM Sent,2,32,50,0.02074074511684715,0.5500426111755631,4390.130748922413,0.0795602894422245
CNN-LSTM Sent,2,64,50,0.028032482935251585,0.3918529564511235,5107.15393588362,0.09138887384088601
CNN-LSTM Sent,1,32,50,0.020889236415522733,0.5390080681572631,4491.595831567796,0.08209376401960629
CNN-LSTM Sent,1,64,50,0.019455080418404613,0.5706575899743478,4270.462717161016,0.07693413273464976
CNN-LSTM Sent,2,32,50,0.012364482278941817,0.7317603524340305,3335.4027532327586,0.06186619969325573
CNN-LSTM Sent,2,64,50,0.02253444797656324,0.5111293585157441,4562.699827586206,0.08210311043195444
CNN-LSTM Sent,1,32,100,0.028008519973330127,0.38189690260929365,5215.117031249999,0.09428192181361929
CNN-LSTM Sent,1,64,100,0.015404311351890715,0.6600515639940685,3764.731215572033,0.06780161287865395
CNN-LSTM Sent,2,32,100,0.02183326005690344,0.5263411883525173,4483.036311961207,0.08087513832700088
CNN-LSTM Sent,2,64,100,0.02619072822161724,0.4318086637862891,4931.50823275862,0.08852383957372276
